"node_id","attribute","value"
63,"node_name","P21"
63,"type","plant"
63,"species","Opuntia_stricta_(Haw.)_Haw."
63,"migratory_status",NA
63,"taxa_verified","TRUE"
63,"verification_level","species"
64,"node_name","P22"
64,"type","plant"
64,"species","Paullinia_tomentosa_Jacq."
64,"migratory_status",NA
64,"taxa_verified","TRUE"
64,"verification_level","species"
65,"node_name","P23"
65,"type","plant"
65,"species","Psittacanthus_calyculatus_(DC.)_G.Don"
65,"migratory_status",NA
65,"taxa_verified","FALSE"
66,"node_name","P24"
66,"type","plant"
66,"species","Psychotria_erythrocarpa_Schltdl."
66,"migratory_status",NA
66,"taxa_verified","TRUE"
66,"verification_level","species"
67,"node_name","P25"
67,"type","plant"
67,"species","Rourea_glabra_Kunth"
67,"migratory_status",NA
67,"taxa_verified","FALSE"
68,"node_name","P26"
68,"type","plant"
68,"species","Smilax_aristolochiifolia_Mill."
68,"migratory_status",NA
68,"taxa_verified","FALSE"
69,"node_name","P27"
69,"type","plant"
69,"species","Solanum_diphyllum_L."
69,"migratory_status",NA
69,"taxa_verified","TRUE"
69,"verification_level","species"
70,"node_name","P28"
70,"type","plant"
70,"species","Sp1"
70,"migratory_status",NA
70,"taxa_verified","FALSE"
71,"node_name","P29"
71,"type","plant"
71,"species","Sp2"
71,"migratory_status",NA
71,"taxa_verified","FALSE"
72,"node_name","P30"
72,"type","plant"
72,"species","Sp3"
72,"migratory_status",NA
72,"taxa_verified","FALSE"
73,"node_name","P31"
73,"type","plant"
73,"species","Sp4"
73,"migratory_status",NA
73,"taxa_verified","FALSE"
74,"node_name","P32"
74,"type","plant"
74,"species","Sp5"
74,"migratory_status",NA
74,"taxa_verified","FALSE"
75,"node_name","P33"
75,"type","plant"
75,"species","Sp6"
75,"migratory_status",NA
75,"taxa_verified","FALSE"
76,"node_name","P34"
76,"type","plant"
76,"species","Sp7"
76,"migratory_status",NA
76,"taxa_verified","FALSE"
77,"node_name","P35"
77,"type","plant"
77,"species","Sp8"
77,"migratory_status",NA
77,"taxa_verified","FALSE"
78,"node_name","P36"
78,"type","plant"
78,"species","Sp9"
78,"migratory_status",NA
78,"taxa_verified","FALSE"
79,"node_name","P37"
79,"type","plant"
79,"species","Sp10"
79,"migratory_status",NA
79,"taxa_verified","FALSE"
80,"node_name","P38"
80,"type","plant"
80,"species","Sp11"
80,"migratory_status",NA
80,"taxa_verified","FALSE"
81,"node_name","P39"
81,"type","plant"
81,"species","Sp12"
81,"migratory_status",NA
