interaction_id,attribute,value
109,node_to,P12
109,layer_to,may14
109,weight,7
109,type,seed-dispersal
109,method,observation
110,node_from,B29
110,layer_from,may14
110,node_to,P17
110,layer_to,may14
110,weight,8
110,type,seed-dispersal
110,method,observation
111,node_from,B32
111,layer_from,may14
111,node_to,P17
111,layer_to,may14
111,weight,1
111,type,seed-dispersal
111,method,observation
112,node_from,B34
112,layer_from,may14
112,node_to,P12
112,layer_to,may14
112,weight,2
112,type,seed-dispersal
112,method,observation
113,node_from,B34
113,layer_from,may14
113,node_to,P17
113,layer_to,may14
113,weight,1
113,type,seed-dispersal
113,method,observation
114,node_from,B35
114,layer_from,may14
114,node_to,P17
114,layer_to,may14
114,weight,2
114,type,seed-dispersal
114,method,observation
115,node_from,B36
115,layer_from,may14
115,node_to,P28
115,layer_to,may14
115,weight,1
115,type,seed-dispersal
115,method,observation
116,node_from,B30
116,layer_from,jun14
116,node_to,P12
116,layer_to,jun14
116,weight,6
116,type,seed-dispersal
116,method,observation
117,node_from,B10
117,layer_from,jun14
117,node_to,P12
117,layer_to,jun14
117,weight,1
117,type,seed-dispersal
117,method,observation
118,node_from,B12
118,layer_from,jun14
118,node_to,P12
118,layer_to,jun14
118,weight,5
118,type,seed-dispersal
118,method,observation
119,node_from,B13
119,layer_from,jun14
119,node_to,P12
119,layer_to,jun14
119,weight,1
119,type,seed-dispersal
119,method,observation
120,node_from,B14
120,layer_from,jun14
120,node_to,P12
120,layer_to,jun14
120,weight,7
120,type,seed-dispersal
120,method,observation
121,node_from,B14
121,layer_from,jun14
121,node_to,P1
121,layer_to,jun14
121,weight,3
121,type,seed-dispersal
121,method,observation
122,node_from,B19
122,layer_from,jun14
122,node_to,P12
122,layer_to,jun14
122,weight,4
122,type,seed-dispersal
122,method,observation
123,node_from,B20
123,layer_from,jun14
123,node_to,P12
123,layer_to,jun14
123,weight,1
123,type,seed-dispersal
123,method,observation
124,node_from,B20
124,layer_from,jun14
124,node_to,P1
124,layer_to,jun14
124,weight,3
124,type,seed-dispersal
124,method,observation
125,node_from,B23
125,layer_from,jun14
125,node_to,P12
125,layer_to,jun14
125,weight,29
125,type,seed-dispersal
125,method,observation
126,node_from,B23
126,layer_from,jun14
126,node_to,P1
126,layer_to,jun14
126,weight,5
126,type,seed-dispersal
126,method,observation
127,node_from,B27
127,layer_from,jun14
127,node_to,P6
127,layer_to,jun14
127,weight,3
127,type,seed-dispersal
127,method,observation
128,node_from,B27
128,layer_from,jun14
128,node_to,P12
128,layer_to,jun14
128,weight,1
128,type,seed-dispersal
128,method,observation
129,node_from,B27
129,layer_from,jun14
129,node_to,P1
129,layer_to,jun14
129,weight,1
129,type,seed-dispersal
129,method,observation
130,node_from,B29
130,layer_from,jun14
130,node_to,P8
130,layer_to,jun14
130,weight,2
130,type,seed-dispersal
130,method,observation
131,node_from,B29
131,layer_from,jun14
131,node_to,P12
131,layer_to,jun14
131,weight,44
131,type,seed-dispersal
131,method,observation
132,node_from,B29
132,layer_from,jun14
132,node_to,P1
132,layer_to,jun14
132,weight,1
132,type,seed-dispersal
132,method,observation
133,node_from,B32
133,layer_from,jun14
133,node_to,P12
133,layer_to,jun14
133,weight,4
133,type,seed-dispersal
133,method,observation
134,node_from,B32
134,layer_from,jun14
134,node_to,P1
134,layer_to,jun14
134,weight,4
134,type,seed-dispersal
134,method,observation
135,node_from,B34
135,layer_from,jun14
135,node_to,P12
135,layer_to,jun14
135,weight,10
135,type,seed-dispersal
135,method,observation
136,node_from,B34
136,layer_from,jun14
136,node_to,P1
136,layer_to,jun14
136,weight,2
136,type,seed-dispersal
136,method,observation
137,node_from,B18
137,layer_from,jul14
137,node_to,P43
137,layer_to,jul14
137,weight,2
137,type,seed-dispersal
137,method,observation
138,node_from,B30
138,layer_from,jul14
138,node_to,P12
138,layer_to,jul14
138,weight,2
138,type,seed-dispersal
138,method,observation
139,node_from,B30
139,layer_from,jul14
139,node_to,P14
139,layer_to,jul14
139,weight,2
139,type,seed-dispersal
139,method,observation
140,node_from,B3
140,layer_from,jul14
140,node_to,P14
140,layer_to,jul14
140,weight,21
140,type,seed-dispersal
140,method,observation
141,node_from,B10
141,layer_from,jul14
141,node_to,P35
141,layer_to,jul14
141,weight,1
141,type,seed-dispersal
141,method,observation
142,node_from,B13
142,layer_from,jul14
142,node_to,P12
142,layer_to,jul14
142,weight,3
142,type,seed-dispersal
142,method,observation
143,node_from,B13
143,layer_from,jul14
143,node_to,P35
143,layer_to,jul14
143,weight,1
143,type,seed-dispersal
143,method,observation
144,node_from,B13
144,layer_from,jul14
144,node_to,P14
144,layer_to,jul14
144,weight,2
144,type,seed-dispersal
144,method,observation
145,node_from,B13
145,layer_from,jul14
145,node_to,P17
145,layer_to,jul14
145,weight,3
145,type,seed-dispersal
145,method,observation
146,node_from,B14
146,layer_from,jul14
146,node_to,P12
146,layer_to,jul14
146,weight,1
146,type,seed-dispersal
146,method,observation
147,node_from,B14
147,layer_from,jul14
147,node_to,P14
147,layer_to,jul14
147,weight,10
147,type,seed-dispersal
147,method,observation
148,node_from,B14
148,layer_from,jul14
148,node_to,P17
148,layer_to,jul14
148,weight,4
148,type,seed-dispersal
148,method,observation
149,node_from,B19
149,layer_from,jul14
149,node_to,P6
149,layer_to,jul14
149,weight,5
149,type,seed-dispersal
149,method,observation
