layer_id,node_id,attribute,value
7,23,sample_size,0
12,23,node_name,Semotilus margarita
12,23,sample_size,0
1,24,node_name,Ictalurus nebulosus
1,24,sample_size,0
8,24,node_name,Ictalurus nebulosus
8,24,sample_size,0
2,24,node_name,Ictalurus nebulosus
2,24,sample_size,0
9,24,node_name,Ictalurus nebulosus
9,24,sample_size,0
3,24,node_name,Ictalurus nebulosus
3,24,sample_size,20
4,24,node_name,Ictalurus nebulosus
4,24,sample_size,0
10,24,node_name,Ictalurus nebulosus
10,24,sample_size,0
5,24,node_name,Ictalurus nebulosus
5,24,sample_size,0
11,24,node_name,Ictalurus nebulosus
11,24,sample_size,0
6,24,node_name,Ictalurus nebulosus
6,24,sample_size,14
7,24,node_name,Ictalurus nebulosus
7,24,sample_size,0
12,24,node_name,Ictalurus nebulosus
12,24,sample_size,0
1,25,node_name,Noturus gyrinus
1,25,sample_size,0
8,25,node_name,Noturus gyrinus
8,25,sample_size,0
2,25,node_name,Noturus gyrinus
2,25,sample_size,0
9,25,node_name,Noturus gyrinus
9,25,sample_size,0
3,25,node_name,Noturus gyrinus
3,25,sample_size,11
4,25,node_name,Noturus gyrinus
4,25,sample_size,0
10,25,node_name,Noturus gyrinus
10,25,sample_size,0
5,25,node_name,Noturus gyrinus
5,25,sample_size,0
11,25,node_name,Noturus gyrinus
11,25,sample_size,0
6,25,node_name,Noturus gyrinus
6,25,sample_size,0
7,25,node_name,Noturus gyrinus
7,25,sample_size,0
12,25,node_name,Noturus gyrinus
12,25,sample_size,0
1,26,node_name,Culaea inconstans
1,26,sample_size,0
8,26,node_name,Culaea inconstans
8,26,sample_size,0
2,26,node_name,Culaea inconstans
2,26,sample_size,0
9,26,node_name,Culaea inconstans
9,26,sample_size,0
3,26,node_name,Culaea inconstans
3,26,sample_size,17
4,26,node_name,Culaea inconstans
4,26,sample_size,0
10,26,node_name,Culaea inconstans
10,26,sample_size,0
5,26,node_name,Culaea inconstans
5,26,sample_size,0
11,26,node_name,Culaea inconstans
11,26,sample_size,0
6,26,node_name,Culaea inconstans
6,26,sample_size,34
7,26,node_name,Culaea inconstans
7,26,sample_size,0
12,26,node_name,Culaea inconstans
12,26,sample_size,0
1,27,node_name,Percopsis omiscomaycus
1,27,sample_size,0
8,27,node_name,Percopsis omiscomaycus
8,27,sample_size,0
2,27,node_name,Percopsis omiscomaycus
2,27,sample_size,0
9,27,node_name,Percopsis omiscomaycus
9,27,sample_size,0
3,27,node_name,Percopsis omiscomaycus
3,27,sample_size,13
4,27,node_name,Percopsis omiscomaycus
4,27,sample_size,0
10,27,node_name,Percopsis omiscomaycus
10,27,sample_size,0
5,27,node_name,Percopsis omiscomaycus
5,27,sample_size,0
11,27,node_name,Percopsis omiscomaycus
11,27,sample_size,0
