interaction_id,attribute,value
68,node_from,Thymallus_arcticus
68,layer_from,1
68,node_to,Tetracotyle_sp._(L)
68,layer_to,1
68,weight,13.6
68,type,host-parasite
68,category,prevalence
69,node_from,Thymallus_arcticus
69,layer_from,1
69,node_to,Diphyllobothrium_sp._(L)
69,layer_to,1
69,weight,18.199999999999999
69,type,host-parasite
69,category,prevalence
70,node_from,Thymallus_arcticus
70,layer_from,1
70,node_to,Eubothrium_salvelini
70,layer_to,1
70,weight,15.9
70,type,host-parasite
70,category,prevalence
71,node_from,Thymallus_arcticus
71,layer_from,1
71,node_to,Proteocephalus_tumidocollus
71,layer_to,1
71,weight,27.300000000000001
71,type,host-parasite
71,category,prevalence
72,node_from,Thymallus_arcticus
72,layer_from,1
72,node_to,Triaenophorus_crassus_(L)
72,layer_to,1
72,weight,40.899999999999999
72,type,host-parasite
72,category,prevalence
73,node_from,Thymallus_arcticus
73,layer_from,1
73,node_to,Capillaria_salvelini
73,layer_to,1
73,weight,2.2999999999999998
73,type,host-parasite
73,category,prevalence
74,node_from,Thymallus_arcticus
74,layer_from,1
74,node_to,Cystidicola_farionis
74,layer_to,1
74,weight,11.4
74,type,host-parasite
74,category,prevalence
75,node_from,Thymallus_arcticus
75,layer_from,1
75,node_to,Raphidascaris_acus_(L)
75,layer_to,1
75,weight,18.199999999999999
75,type,host-parasite
75,category,prevalence
76,node_from,Thymallus_arcticus
76,layer_from,1
76,node_to,Neoechinorhynchus_tumidus
76,layer_to,1
76,weight,18.199999999999999
76,type,host-parasite
76,category,prevalence
77,node_from,Thymallus_arcticus
77,layer_from,1
77,node_to,Salmincola_thymalli
77,layer_to,1
77,weight,34.100000000000001
77,type,host-parasite
77,category,prevalence
78,node_from,Coregonus_artedii
78,layer_from,2
78,node_to,Discocotyle_sagittata
78,layer_to,2
78,weight,20.899999999999999
78,type,host-parasite
78,category,prevalence
79,node_from,Coregonus_artedii
79,layer_from,2
79,node_to,Cotylurus_erraticus_(L)
79,layer_to,2
79,weight,1.1000000000000001
79,type,host-parasite
79,category,prevalence
80,node_from,Coregonus_artedii
80,layer_from,2
80,node_to,Crepidostomum_farionis
80,layer_to,2
80,weight,1.6000000000000001
80,type,host-parasite
80,category,prevalence
81,node_from,Coregonus_artedii
81,layer_from,2
81,node_to,Cyathocephalus_truncatus
81,layer_to,2
81,weight,7.7999999999999998
