layer,attribute,value
60,biotop,F
60,region,Javorie mountains and Krupinska Planina plain
60,locality,Pliesovce
60,files,Javorie
60,year,1983
60,month,10
60,first_date,1983-10-14
60,last_date,1983-10-20
60,num_traps,750
60,nights,6
61,type,space
61,type,time
61,population_no,61
61,latitude,48.4399806
61,longitude,19.1784861
61,biotop,F
61,region,Javorie mountains and Krupinska Planina plain
61,locality,Pliesovce
61,files,Javorie
61,year,1983
61,month,12
61,first_date,1983-12-01
61,last_date,1983-12-07
61,num_traps,750
61,nights,6
62,type,space
62,type,time
62,population_no,62
62,latitude,48.4399806
62,longitude,19.1784861
62,biotop,F
62,region,Javorie mountains and Krupinska Planina plain
62,locality,Pliesovce
62,files,Javorie
62,year,1984
62,month,2
62,first_date,1984-02-23
62,last_date,1984-03-01
62,num_traps,1050
62,nights,7
63,type,space
63,type,time
63,population_no,63
63,latitude,48.4399806
63,longitude,19.1784861
63,biotop,F
63,region,Javorie mountains and Krupinska Planina plain
63,locality,Pliesovce
63,files,Javorie
63,year,1984
63,month,4
63,first_date,1984-04-26
63,last_date,1984-04-28
63,num_traps,300
63,nights,2
64,type,space
64,type,time
64,population_no,64
64,latitude,48.4399806
64,longitude,19.1784861
64,biotop,F
64,region,Javorie mountains and Krupinska Planina plain
64,locality,Pliesovce
64,files,Javorie
64,year,1985
64,month,3
64,first_date,1985-03-20
64,last_date,1985-03-27
64,num_traps,2000
64,nights,7
65,type,space
65,type,time
65,population_no,65
65,latitude,48.4182944
65,longitude,21.898225
65,biotop,F
65,region,East Slovakian Lowland
65,locality,Svatuse
65,files,SvatHost
65,year,1991
65,month,4
65,first_date,1991-04-24
65,last_date,1991-04-24
65,num_traps,250
65,nights,1
66,type,space
66,type,time
66,population_no,66
66,latitude,48.4182944
66,longitude,21.898225
66,biotop,F
66,region,East Slovakian Lowland
66,locality,Svatuse
66,files,SvatHost
66,year,1991
66,month,6
66,first_date,1991-06-26
66,last_date,1991-06-27
66,num_traps,450
66,nights,1
67,type,space
67,type,time
67,population_no,67
67,latitude,48.4182944
67,longitude,21.898225
67,biotop,F
67,region,East Slovakian Lowland
67,locality,Svatuse
67,files,SvatHost
67,year,1991
67,month,9
67,first_date,1991-09-11
67,last_date,1991-09-12
67,num_traps,850
67,nights,1
68,type,space
68,type,time
68,population_no,68
68,latitude,48.4182944
68,longitude,21.898225
68,biotop,F
68,region,East Slovakian Lowland
68,locality,Svatuse
68,files,SvatHost
68,year,1991
68,month,10
68,first_date,1991-10-16
68,last_date,1991-10-17
68,num_traps,500
68,nights,1
69,type,space
69,type,time
69,population_no,69
69,latitude,48.4182944
69,longitude,21.898225
69,biotop,F
69,region,East Slovakian Lowland
69,locality,Svatuse
69,files,SvatHost
69,year,1992
69,month,2
69,first_date,1992-02-04
69,last_date,1992-02-05
69,num_traps,650
69,nights,1
70,type,space
70,type,time
70,population_no,70
70,latitude,48.4182944
70,longitude,21.898225
70,biotop,F
70,region,East Slovakian Lowland
70,locality,Svatuse
70,files,SvatHost
70,year,1992
70,month,4
70,first_date,1992-04-01
70,last_date,1992-04-02
70,num_traps,650
70,nights,1
71,type,space
71,type,time
71,population_no,71
71,latitude,48.4182944
71,longitude,21.898225
71,biotop,F
71,region,East Slovakian Lowland
71,locality,Svatuse
71,files,SvatHost
71,year,1992
71,month,4
71,first_date,1992-04-23
71,last_date,1992-04-24
71,num_traps,600
71,nights,1
72,type,space
72,type,time
72,population_no,72
72,latitude,48.4182944
72,longitude,21.898225
72,biotop,F
72,region,East Slovakian Lowland
72,locality,Svatuse
72,files,SvatHost
72,year,1992
72,month,5
72,first_date,1992-05-27
72,last_date,1992-05-28
72,num_traps,750
72,nights,1
73,type,space
73,type,time
73,population_no,73
73,latitude,48.4182944
73,longitude,21.898225
73,biotop,F
73,region,East Slovakian Lowland
73,locality,Svatuse
73,files,SvatHost
73,year,1992
73,month,10
73,first_date,1992-10-01
73,last_date,1992-10-02
73,num_traps,900
73,nights,1
74,type,space
74,type,time
74,population_no,74
74,latitude,48.4182944
74,longitude,21.898225
74,biotop,F
74,region,East Slovakian Lowland
74,locality,Svatuse
74,files,SvatHost
74,year,1993
74,month,5
74,first_date,1993-05-19
74,last_date,1993-05-20
74,num_traps,450
74,nights,1
75,type,space
75,type,time
75,population_no,75
75,latitude,48.4182944
75,longitude,21.898225
75,biotop,F
75,region,East Slovakian Lowland
75,locality,Svatuse
75,files,SvatHost
75,year,1994
75,month,4
75,first_date,1994-04-26
75,last_date,1994-04-28
75,num_traps,1000
75,nights,2
76,type,space
76,type,time
76,population_no,76
76,latitude,48.4182944
76,longitude,21.898225
76,biotop,F
76,region,East Slovakian Lowland
76,locality,Svatuse
76,files,SvatHost
76,year,1994
76,month,9
76,first_date,1994-09-07
76,last_date,1994-09-07
76,num_traps,450
76,nights,1
77,type,space
77,type,time
77,population_no,77
77,latitude,48.4182944
77,longitude,21.898225
77,biotop,F
77,region,East Slovakian Lowland
77,locality,Svatuse
77,files,SvatHost
77,year,1994
77,month,12
77,first_date,1994-12-01
77,last_date,1994-12-02
77,num_traps,700
77,nights,1
78,type,space
78,type,time
78,population_no,101
78,latitude,49.2215278
78,longitude,21.0014639
78,biotop,F
78,region,Cergov mountains
78,locality,Kyjov
78,files,Cergov
78,year,1996
78,month,10
78,first_date,1996-10-08
78,last_date,1996-10-08
78,num_traps,NA
78,nights,1
79,type,space
79,type,time
79,population_no,102
79,latitude,48.7528083
79,longitude,21.2215472
79,biotop,F
79,region,Volovske Vrchy mountains
79,locality,Cermel
79,files,Cermel
79,year,1989
79,month,3
79,first_date,1989-03-23
79,last_date,1989-03-23
79,num_traps,NA
79,nights,1
80,type,space
80,type,time
80,population_no,103
80,latitude,48.7528083
80,longitude,21.2215472
80,biotop,F
80,region,Volovske Vrchy mountains
80,locality,Cermel
80,files,Cermel
80,year,1991
80,month,3
80,first_date,1991-03-05
80,last_date,1991-03-05
80,num_traps,NA
80,nights,1
81,type,space
81,type,time
81,population_no,104
81,latitude,48.7528083
81,longitude,21.2215472
81,biotop,F
81,region,Volovske Vrchy mountains
81,locality,Cermel
81,files,Cermel
81,year,1991
81,month,3
81,first_date,1991-03-26
81,last_date,1991-03-28
81,num_traps,NA
81,nights,2
82,type,space
82,type,time
82,population_no,105
82,latitude,48.7528083
82,longitude,21.2215472
82,biotop,F
82,region,Volovske Vrchy mountains
82,locality,Cermel
82,files,Cermel
82,year,1993
82,month,5
82,first_date,1993-05-05
82,last_date,1993-05-06
82,num_traps,NA
82,nights,1
83,type,space
83,type,time
83,population_no,106
83,latitude,48.7075694
83,longitude,21.2840528
83,biotop,N
83,region,Kosicka kotlina basin
83,locality,Kosice - Uvrat
83,files,KE NIznaU
83,year,1988
83,month,3
83,first_date,1988-03-09
83,last_date,1988-03-10
83,num_traps,NA
83,nights,1
84,type,space
84,type,time
84,population_no,107
84,latitude,49.156075
84,longitude,20.5451694
84,biotop,F
84,region,Levocske vrchy mountains
84,locality,Kezmarok
84,files,Kezm
84,year,1994
84,month,6
84,first_date,1994-06-21
84,last_date,1994-06-23
84,num_traps,NA
84,nights,2
85,type,space
85,type,time
85,population_no,108
85,latitude,49.156075
85,longitude,20.5451694
85,biotop,F
85,region,Levocske vrchy mountains
85,locality,Kezmarok
85,files,Kezm
85,year,1994
85,month,11
85,first_date,1994-11-15
85,last_date,1994-11-17
85,num_traps,NA
85,nights,2
86,type,space
86,type,time
86,population_no,109
86,latitude,48.787125
86,longitude,21.1945361
86,biotop,N
86,region,Volovske Vrchy mountains
86,locality,Kavecany
86,files,Kosice - Kavecany
86,year,1989
86,month,2
86,first_date,1989-02-01
86,last_date,1989-02-02
86,num_traps,NA
86,nights,1
87,type,space
87,type,time
87,population_no,110
87,latitude,48.5287833
87,longitude,21.2999944
87,biotop,N
87,region,Kosicka kotlina basin
87,locality,Hranicna
87,files,KosKotl
87,year,1987
87,month,4
87,first_date,1987-04-15
87,last_date,1987-04-16
87,num_traps,NA
87,nights,1
88,type,space
88,type,time
88,population_no,111
88,latitude,48.5841444
88,longitude,21.26715
88,biotop,N
88,region,Kosicka kotlina basin
88,locality,Grajciar
88,files,KosKotl
88,year,1987
88,month,6
88,first_date,1987-06-09
88,last_date,1987-06-10
88,num_traps,NA
88,nights,1
89,type,space
89,type,time
89,population_no,112
89,latitude,48.6814778
89,longitude,21.2467389
89,biotop,N
89,region,Kosicka kotlina basin
89,locality,Myslava
89,files,KosKotl
89,year,1988
89,month,3
89,first_date,1988-03-03
