node_name,node_type,module
Sibinia_sericea,pollinator,2
Sphaeniscus_filiolus,pollinator,5
Stomorhina_lunata,pollinator,5
Synthesomyia_nudiseta,pollinator,1
Syritta_pipiens,pollinator,10
Tethina_marmorata,pollinator,1
Themnothorax_hesperius,pollinator,19
Thysanoptera_sp._7,pollinator,7
Torymoides_lindbergi,pollinator,3
Trixoscelis_sp.,pollinator,7
Anaspis_cf._canariensis,pollinator,2
Araneidae_sp._1,pollinator,1
Araneidae_sp._2,pollinator,1
Attalus_rugifrons,pollinator,7
Bruchidius_wollastoni,pollinator,7
Campiglossa_reticulata,pollinator,7
Chloropidae_sp._4,pollinator,2
Empididae_sp._1,pollinator,2
Eupelmus_testaceiventris,pollinator,1
Exetastes_segmentarius,pollinator,1
Halictus_fulvipes,pollinator,3
Megaselia_sp._1,pollinator,1
Oxyopes_kraepelinorum,pollinator,2
Paratrechina_longicornis,pollinator,1
Phagnalon.saxatile,plant,8
Scymnus_canariensis,pollinator,1
Tachina_canariensis,pollinator,7
Thomisus_cf._globosum,pollinator,7
Thyridanthrax_indigenus,pollinator,2
Trupanea_augur,pollinator,8
Attalus_crispus,pollinator,1
Cecydomyiidae_sp.,pollinator,2
Ceratogoponidae_sp._2,pollinator,1
Chironomidae_sp._1,pollinator,1
Chloropidae_sp._3,pollinator,2
Colias_croceus,pollinator,12
Cryptocephalus_nitidicollis,pollinator,2
Delia_flavibasis,pollinator,1
Dilophus_hiemalis,pollinator,1
Empis_sp._1,pollinator,1
Lasioglossum_arctifrons,pollinator,15
Linnaemyia_soror,pollinator,1
Lotus.glaucus,plant,15
Mycetophilidae_sp._1,pollinator,1
Perilampus_sp._1,pollinator,17
Perilampus_sp._2,pollinator,1
Rondania_insularis,pollinator,2
Sarcophagidae_sp._3,pollinator,2
Spathulina_sicula,pollinator,8
Thaumatomyia_notata,pollinator,1
Villa_nigriceps,pollinator,12
