layer_from,node_from,layer_to,node_to,weight,c_value,z_value,role,compartment_group
Island19,Plant4,Island19,Bird5,5,0.7891,3.8604,hub,small
Island4,Plant4,Island4,Bird2,1,0.375,0.0988,peripheral,large
Island4,Plant4,Island4,Bird17,1,0.625,-0.7487,peripheral,mix
Island9,Plant4,Island9,Bird1,1,0.7778,2.3923,hub,small
Island9,Plant4,Island9,Bird9,2,0.7755,1.8181,hub,small
Island9,Plant4,Island9,Bird3,3,0.78,1.8181,hub,small
Island17,Plant4,Island17,Bird5,10,0.7891,3.8604,hub,small
Island17,Plant4,Island17,Bird3,15,0.78,1.8181,hub,small
Island17,Plant4,Island17,Bird1,3,0.7778,2.3923,hub,small
Island17,Plant4,Island17,Bird12,1,0.5,-0.9537,peripheral,small
Island10,Plant4,Island10,Bird5,6,0.7891,3.8604,hub,small
Island5,Plant4,Island5,Bird7,3,0.5,-0.7487,peripheral,mix
Island5,Plant4,Island5,Bird1,31,0.7778,2.3923,hub,small
Island5,Plant4,Island5,Bird6,1,0.7654,1.8181,hub,small
Island3,Plant4,Island3,Bird17,15,0.625,-0.7487,peripheral,mix
Island1,Plant4,Island1,Bird17,1,0.625,-0.7487,peripheral,mix
Island1,Plant4,Island1,Bird1,2,0.7778,2.3923,hub,small
Island3,Plant4,Island3,Bird3,4,0.78,1.8181,hub,small
Island3,Plant4,Island3,Bird7,2,0.5,-0.7487,peripheral,mix
Island3,Plant4,Island3,Bird23,1,0,-0.7487,peripheral,mix
Island2,Plant4,Island2,Bird2,4,0.375,0.0988,peripheral,large
Island2,Plant4,Island2,Bird29,1,0,-0.5203,peripheral,large
Island2,Plant4,Island2,Bird1,9,0.7778,2.3923,hub,small
Island2,Plant4,Island2,Bird5,2,0.7891,3.8604,hub,small
Island2,Plant4,Island2,Bird6,2,0.7654,1.8181,hub,small
Island2,Plant4,Island2,Bird9,2,0.7755,1.8181,hub,small
Island6,Plant4,Island6,Bird3,2,0.78,1.8181,hub,small
Island6,Plant4,Island6,Bird5,4,0.7891,3.8604,hub,small
Island6,Plant4,Island6,Bird1,4,0.7778,2.3923,hub,small
Island7,Plant4,Island7,Bird27,6,0,-1.1395,peripheral,large
Island7,Plant4,Island7,Bird6,2,0.7654,1.8181,hub,small
Island7,Plant4,Island7,Bird29,3,0,-0.5203,peripheral,large
Island1,Plant11,Island1,Bird6,6,0.6667,0.0988,peripheral,large
Island1,Plant27,Island1,Bird13,18,0,-0.2562,peripheral,mix
Island1,Plant27,Island1,Bird6,9,0,-0.2562,peripheral,mix
Island1,Plant27,Island1,Bird9,49,0,-0.2562,peripheral,mix
Island1,Plant27,Island1,Bird4,32,0,-0.2562,peripheral,mix
Island1,Plant27,Island1,Bird2,22,0,-0.2562,peripheral,mix
Island1,Plant27,Island1,Bird7,17,0,-0.2562,peripheral,mix
Island1,Plant20,Island1,Bird9,2,0,-0.2562,peripheral,mix
Island1,Plant20,Island1,Bird13,2,0,-0.2562,peripheral,mix
Island1,Plant5,Island1,Bird9,3,0.7273,-0.5195,peripheral,small
Island1,Plant15,Island1,Bird3,11,0,-0.2562,peripheral,mix
Island1,Plant5,Island1,Bird3,4,0.7654,1.8181,hub,small
Island1,Plant20,Island1,Bird2,1,0,-0.2562,peripheral,mix
Island4,Plant5,Island4,Bird2,179,0.7456,1.5509,peripheral,mix
Island4,Plant5,Island4,Bird7,21,0.6914,0.9243,peripheral,small
Island4,Plant5,Island4,Bird3,23,0.7654,1.8181,hub,small
Island21,Plant1,Island21,Bird3,3,0.66,1.5774,module hub,small
Island11,Plant5,Island11,Bird12,99,0.6939,1.5509,peripheral,mix
