layer_from,node_from,layer_to,node_to,weight,type
Trophic,fissurella  maxima,Trophic,fissurella  crassa,1,trophic
Trophic,fissurella  maxima,Trophic,heliaster helianthus,1,trophic
Trophic,fissurella  maxima,Trophic,gulls,1,trophic
Trophic,fissurella  picta,Trophic,acanthocyclus gayi,1,trophic
Trophic,fissurella  picta,Trophic,acanthocyclus hassleri,1,trophic
Trophic,fissurella  picta,Trophic,concholepas concholepas,1,trophic
Trophic,fissurella  picta,Trophic,heliaster helianthus,1,trophic
Trophic,fissurella  picta,Trophic,gulls,1,trophic
Trophic,fissurella  puhlcra,Trophic,acanthocyclus gayi,1,trophic
Trophic,fissurella  puhlcra,Trophic,acanthocyclus hassleri,1,trophic
Trophic,fissurella  puhlcra,Trophic,concholepas concholepas,1,trophic
Trophic,fissurella  puhlcra,Trophic,heliaster helianthus,1,trophic
Trophic,fissurella  puhlcra,Trophic,gulls,1,trophic
Trophic,heliaster helianthus,Trophic,gulls,1,trophic
Trophic,scurria  araucana,Trophic,acanthocyclus gayi,1,trophic
Trophic,scurria  araucana,Trophic,acanthocyclus hassleri,1,trophic
Trophic,scurria  araucana,Trophic,acanthopleura echinata,1,trophic
Trophic,scurria  araucana,Trophic,concholepas concholepas,1,trophic
Trophic,scurria  araucana,Trophic,enoplochiton  niger,1,trophic
Trophic,scurria  araucana,Trophic,fissurella  limbata,1,trophic
Trophic,scurria  araucana,Trophic,heliaster helianthus,1,trophic
Trophic,scurria  araucana,Trophic,anthotoe spp.,1,trophic
Trophic,scurria  araucana,Trophic,bunodactis spp.,1,trophic
Trophic,scurria  araucana,Trophic,isolauctis spp.,1,trophic
Trophic,scurria  araucana,Trophic,parantheopsis,1,trophic
Trophic,scurria  araucana,Trophic,phymactis spp.,1,trophic
Trophic,scurria  araucana,Trophic,gulls,1,trophic
Trophic,scurria  araucana,Trophic,cincloides,1,trophic
Trophic,scurria  ceciliana,Trophic,acanthocyclus gayi,1,trophic
Trophic,scurria  ceciliana,Trophic,acanthocyclus hassleri,1,trophic
Trophic,scurria  ceciliana,Trophic,enoplochiton  niger,1,trophic
Trophic,scurria  ceciliana,Trophic,fissurella  limbata,1,trophic
Trophic,scurria  ceciliana,Trophic,heliaster helianthus,1,trophic
Trophic,scurria  ceciliana,Trophic,anthotoe spp.,1,trophic
Trophic,scurria  ceciliana,Trophic,bunodactis spp.,1,trophic
Trophic,scurria  ceciliana,Trophic,isolauctis spp.,1,trophic
Trophic,scurria  ceciliana,Trophic,parantheopsis,1,trophic
Trophic,scurria  ceciliana,Trophic,phymactis spp.,1,trophic
Trophic,scurria  ceciliana,Trophic,gulls,1,trophic
Trophic,scurria  ceciliana,Trophic,cincloides,1,trophic
Trophic,scurria  plana,Trophic,acanthocyclus gayi,1,trophic
Trophic,scurria  plana,Trophic,acanthocyclus hassleri,1,trophic
Trophic,scurria  plana,Trophic,fissurella  limbata,1,trophic
Trophic,scurria  plana,Trophic,heliaster helianthus,1,trophic
Trophic,scurria  plana,Trophic,anthotoe spp.,1,trophic
Trophic,scurria  plana,Trophic,bunodactis spp.,1,trophic
Trophic,scurria  plana,Trophic,isolauctis spp.,1,trophic
Trophic,scurria  plana,Trophic,parantheopsis,1,trophic
Trophic,scurria  plana,Trophic,phymactis spp.,1,trophic
Trophic,scurria  plana,Trophic,gulls,1,trophic
Trophic,scurria  plana,Trophic,cincloides,1,trophic
Trophic,scurria scurra,Trophic,heliaster helianthus,1,trophic
Trophic,scurria scurra,Trophic,anthotoe spp.,1,trophic
Trophic,scurria scurra,Trophic,bunodactis spp.,1,trophic
Trophic,scurria scurra,Trophic,isolauctis spp.,1,trophic
Trophic,scurria scurra,Trophic,parantheopsis,1,trophic
Trophic,scurria scurra,Trophic,phymactis spp.,1,trophic
Trophic,scurria scurra,Trophic,gulls,1,trophic
Trophic,scurria scurra,Trophic,cincloides,1,trophic
Trophic,scurria variabilis,Trophic,acanthocyclus gayi,1,trophic
Trophic,scurria variabilis,Trophic,acanthocyclus hassleri,1,trophic
Trophic,scurria variabilis,Trophic,enoplochiton  niger,1,trophic
Trophic,scurria variabilis,Trophic,fissurella  limbata,1,trophic
Trophic,scurria variabilis,Trophic,heliaster helianthus,1,trophic
Trophic,scurria variabilis,Trophic,anthotoe spp.,1,trophic
Trophic,scurria variabilis,Trophic,bunodactis spp.,1,trophic
Trophic,scurria variabilis,Trophic,isolauctis spp.,1,trophic
Trophic,scurria variabilis,Trophic,parantheopsis,1,trophic
Trophic,scurria variabilis,Trophic,phymactis spp.,1,trophic
Trophic,scurria variabilis,Trophic,gulls,1,trophic
Trophic,scurria variabilis,Trophic,cincloides,1,trophic
Trophic,scurria viridula,Trophic,acanthocyclus gayi,1,trophic
Trophic,scurria viridula,Trophic,acanthocyclus hassleri,1,trophic
Trophic,scurria viridula,Trophic,fissurella  limbata,1,trophic
Trophic,scurria viridula,Trophic,heliaster helianthus,1,trophic
Trophic,scurria viridula,Trophic,anthotoe spp.,1,trophic
Trophic,scurria viridula,Trophic,bunodactis spp.,1,trophic
Trophic,scurria viridula,Trophic,isolauctis spp.,1,trophic
Trophic,scurria viridula,Trophic,parantheopsis,1,trophic
Trophic,scurria viridula,Trophic,phymactis spp.,1,trophic
Trophic,scurria viridula,Trophic,gulls,1,trophic
Trophic,scurria viridula,Trophic,cincloides,1,trophic
Trophic,scurria zebrina,Trophic,acanthocyclus gayi,1,trophic
Trophic,scurria zebrina,Trophic,acanthocyclus hassleri,1,trophic
Trophic,scurria zebrina,Trophic,heliaster helianthus,1,trophic
Trophic,scurria zebrina,Trophic,gulls,1,trophic
Trophic,scurria zebrina,Trophic,cincloides,1,trophic
Trophic,siphonaria lesoni,Trophic,acanthocyclus gayi,1,trophic
Trophic,siphonaria lesoni,Trophic,acanthocyclus hassleri,1,trophic
Trophic,siphonaria lesoni,Trophic,heliaster helianthus,1,trophic
Trophic,siphonaria lesoni,Trophic,gulls,1,trophic
Trophic,stichaster striatus,Trophic,gulls,1,trophic
Trophic,tegula atra,Trophic,acanthopleura echinata,1,trophic
Trophic,tegula atra,Trophic,concholepas concholepas,1,trophic
Trophic,tegula atra,Trophic,enoplochiton  niger,1,trophic
Trophic,tegula atra,Trophic,fissurella  crassa,1,trophic
Trophic,tegula atra,Trophic,fissurella  limbata,1,trophic
Trophic,tegula atra,Trophic,heliaster helianthus,1,trophic
Trophic,tegula atra,Trophic,stichaster striatus,1,trophic
Trophic,tegula atra,Trophic,anthotoe spp.,1,trophic
Trophic,tegula atra,Trophic,bunodactis spp.,1,trophic
Trophic,tegula atra,Trophic,isolauctis spp.,1,trophic
Trophic,tegula atra,Trophic,parantheopsis,1,trophic
Trophic,tegula atra,Trophic,phymactis spp.,1,trophic
Trophic,tegula atra,Trophic,gulls,1,trophic
Trophic,tegula atra,Trophic,cincloides,1,trophic
Trophic,tonicia  benaventii,Trophic,heliaster helianthus,1,trophic
Trophic,tonicia  benaventii,Trophic,stichaster striatus,1,trophic
Trophic,tonicia  benaventii,Trophic,gulls,1,trophic
Trophic,tonicia  chilensis,Trophic,heliaster helianthus,1,trophic
Trophic,tonicia  chilensis,Trophic,stichaster striatus,1,trophic
Trophic,tonicia  chilensis,Trophic,gulls,1,trophic
Trophic,tonicia  elegans,Trophic,heliaster helianthus,1,trophic
Trophic,tonicia  elegans,Trophic,stichaster striatus,1,trophic
Trophic,tonicia  elegans,Trophic,gulls,1,trophic
Trophic,adenocystis utricularis,Trophic,acanthopleura echinata,1,trophic
Trophic,adenocystis utricularis,Trophic,chaetopleura peruviana,1,trophic
Trophic,adenocystis utricularis,Trophic,chiton  cummingii,1,trophic
Trophic,adenocystis utricularis,Trophic,chiton  granosus,1,trophic
Trophic,adenocystis utricularis,Trophic,chiton  latus,1,trophic
Trophic,adenocystis utricularis,Trophic,enoplochiton  niger,1,trophic
Trophic,adenocystis utricularis,Trophic,fissurella  costata,1,trophic
Trophic,adenocystis utricularis,Trophic,fissurella  crassa,1,trophic
Trophic,adenocystis utricularis,Trophic,fissurella  cummingii,1,trophic
Trophic,adenocystis utricularis,Trophic,fissurella  limbata,1,trophic
Trophic,adenocystis utricularis,Trophic,fissurella  maxima,1,trophic
Trophic,adenocystis utricularis,Trophic,fissurella  picta,1,trophic
Trophic,adenocystis utricularis,Trophic,fissurella  puhlcra,1,trophic
Trophic,adenocystis utricularis,Trophic,tonicia  benaventii,1,trophic
Trophic,adenocystis utricularis,Trophic,tonicia  chilensis,1,trophic
Trophic,adenocystis utricularis,Trophic,tonicia  elegans,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,acanthopleura echinata,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,chaetopleura peruviana,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,chiton  cummingii,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,chiton  granosus,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,chiton  latus,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,enoplochiton  niger,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,fissurella  costata,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,fissurella  crassa,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,fissurella  cummingii,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,fissurella  limbata,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,fissurella  maxima,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,fissurella  picta,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,fissurella  puhlcra,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,tonicia  benaventii,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,tonicia  chilensis,1,trophic
Trophic,ahnfeltiopsis spp.,Trophic,tonicia  elegans,1,trophic
Trophic,austromegabalanus psittacus,Trophic,acanthina monodon,1,trophic
Trophic,austromegabalanus psittacus,Trophic,acanthocyclus gayi,1,trophic
Trophic,austromegabalanus psittacus,Trophic,acanthocyclus hassleri,1,trophic
Trophic,austromegabalanus psittacus,Trophic,acanthopleura echinata,1,trophic
Trophic,austromegabalanus psittacus,Trophic,chaetopleura peruviana,1,trophic
Trophic,austromegabalanus psittacus,Trophic,concholepas concholepas,1,trophic
Trophic,austromegabalanus psittacus,Trophic,heliaster helianthus,1,trophic
Trophic,austromegabalanus psittacus,Trophic,stichaster striatus,1,trophic
Trophic,austromegabalanus psittacus,Trophic,anthotoe spp.,1,trophic
Trophic,austromegabalanus psittacus,Trophic,bunodactis spp.,1,trophic
Trophic,austromegabalanus psittacus,Trophic,isolauctis spp.,1,trophic
Trophic,austromegabalanus psittacus,Trophic,parantheopsis,1,trophic
Trophic,austromegabalanus psittacus,Trophic,phymactis spp.,1,trophic
Trophic,balanus laevis,Trophic,acanthina monodon,1,trophic
Trophic,balanus laevis,Trophic,acanthocyclus gayi,1,trophic
Trophic,balanus laevis,Trophic,acanthocyclus hassleri,1,trophic
Trophic,balanus laevis,Trophic,acanthopleura echinata,1,trophic
Trophic,balanus laevis,Trophic,chaetopleura peruviana,1,trophic
Trophic,balanus laevis,Trophic,chiton  cummingii,1,trophic
Trophic,balanus laevis,Trophic,chiton  latus,1,trophic
Trophic,balanus laevis,Trophic,lottia  orbigny,1,trophic
Trophic,balanus laevis,Trophic,concholepas concholepas,1,trophic
Trophic,balanus laevis,Trophic,enoplochiton  niger,1,trophic
Trophic,balanus laevis,Trophic,fissurella  costata,1,trophic
Trophic,balanus laevis,Trophic,fissurella  crassa,1,trophic
Trophic,balanus laevis,Trophic,fissurella  cummingii,1,trophic
Trophic,balanus laevis,Trophic,fissurella  limbata,1,trophic
Trophic,balanus laevis,Trophic,fissurella  maxima,1,trophic
Trophic,balanus laevis,Trophic,fissurella  picta,1,trophic
Trophic,balanus laevis,Trophic,fissurella  puhlcra,1,trophic
Trophic,balanus laevis,Trophic,heliaster helianthus,1,trophic
Trophic,balanus laevis,Trophic,scurria  araucana,1,trophic
Trophic,balanus laevis,Trophic,scurria  ceciliana,1,trophic
Trophic,balanus laevis,Trophic,scurria  plana,1,trophic
Trophic,balanus laevis,Trophic,scurria scurra,1,trophic
Trophic,balanus laevis,Trophic,scurria variabilis,1,trophic
Trophic,balanus laevis,Trophic,scurria viridula,1,trophic
Trophic,balanus laevis,Trophic,scurria zebrina,1,trophic
Trophic,balanus laevis,Trophic,siphonaria lesoni,1,trophic
Trophic,balanus laevis,Trophic,stichaster striatus,1,trophic
Trophic,balanus laevis,Trophic,tonicia  benaventii,1,trophic
Trophic,balanus laevis,Trophic,tonicia  chilensis,1,trophic
Trophic,balanus laevis,Trophic,tonicia  elegans,1,trophic
Trophic,balanus laevis,Trophic,anthotoe spp.,1,trophic
Trophic,balanus laevis,Trophic,bunodactis spp.,1,trophic
Trophic,balanus laevis,Trophic,isolauctis spp.,1,trophic
Trophic,balanus laevis,Trophic,parantheopsis,1,trophic
Trophic,balanus laevis,Trophic,phymactis spp.,1,trophic
Trophic,benthic_diatoms,Trophic,acanthopleura echinata,1,trophic
Trophic,benthic_diatoms,Trophic,chaetopleura peruviana,1,trophic
Trophic,benthic_diatoms,Trophic,chiton  cummingii,1,trophic
Trophic,benthic_diatoms,Trophic,chiton  granosus,1,trophic
Trophic,benthic_diatoms,Trophic,chiton  latus,1,trophic
Trophic,benthic_diatoms,Trophic,lottia  orbigny,1,trophic
