interaction_id,attribute,value
128,weight,1
129,node_from,Ichneumonidae_indet.
129,layer_from,19
129,node_to,Euura_hastatae
129,layer_to,19
129,type,host-parasite
129,method,field_observation
129,weight,1
130,node_from,Gelis_sp.
130,layer_from,19
130,node_to,Pontania_breviserratae
130,layer_to,19
130,type,host-parasite
130,method,field_observation
130,weight,1
131,node_from,Pontania_breviserratae
131,layer_from,19
131,node_to,Salix_breviserrata
131,layer_to,19
131,type,host-parasite
131,method,field_observation
131,weight,1
132,node_from,Bracon_romani
132,layer_from,19
132,node_to,Pontania_breviserratae
132,layer_to,19
132,type,host-parasite
132,method,field_observation
132,weight,1
133,node_from,Pteromalus_dolichurus
133,layer_from,19
133,node_to,Pontania_breviserratae
133,layer_to,19
133,type,host-parasite
133,method,field_observation
133,weight,1
134,node_from,Scambus_vesicarius
134,layer_from,19
134,node_to,Pontania_breviserratae
134,layer_to,19
134,type,host-parasite
134,method,field_observation
134,weight,1
135,node_from,Pontania_breviserratae
135,layer_from,20
135,node_to,Salix_breviserrata
135,layer_to,20
135,type,host-parasite
135,method,field_observation
135,weight,1
136,node_from,Pteromalus_dolichurus
136,layer_from,20
136,node_to,Pontania_breviserratae
136,layer_to,20
136,type,host-parasite
136,method,field_observation
136,weight,1
137,node_from,Bracon_romani
137,layer_from,20
137,node_to,Pontania_breviserratae
137,layer_to,20
137,type,host-parasite
137,method,field_observation
137,weight,1
138,node_from,Scambus_vesicarius
138,layer_from,20
138,node_to,Pontania_breviserratae
138,layer_to,20
138,type,host-parasite
138,method,field_observation
138,weight,1
139,node_from,Bracon_romani
139,layer_from,20
139,node_to,Pontania_hastatae
139,layer_to,20
139,type,host-parasite
139,method,field_observation
139,weight,1
140,node_from,Eurytoma_aciculata
140,layer_from,20
140,node_to,Pontania_hastatae
140,layer_to,20
140,type,host-parasite
140,method,field_observation
140,weight,1
141,node_from,Scambus_vesicarius
141,layer_from,20
141,node_to,Pontania_hastatae
141,layer_to,20
141,type,host-parasite
141,method,field_observation
141,weight,1
142,node_from,Pontania_hastatae
142,layer_from,20
142,node_to,Salix_hastata
142,layer_to,20
142,type,host-parasite
142,method,field_observation
142,weight,1
143,node_from,Euura_hastatae
143,layer_from,20
143,node_to,Salix_hastata
143,layer_to,20
143,type,host-parasite
143,method,field_observation
143,weight,1
144,node_from,Pteromalus_euurae
144,layer_from,20
144,node_to,Euura_hastatae
144,layer_to,20
144,type,host-parasite
144,method,field_observation
144,weight,1
145,node_from,Pontania_varia
145,layer_from,20
145,node_to,Salix_myrsinifolia
145,layer_to,20
145,type,host-parasite
145,method,field_observation
145,weight,1
146,node_from,Eulonchetron_torymoides
146,layer_from,20
